"PUNTO DE INFORMACIÓN","MES","AÑO","PAIS DE PROCEDENCIA","CIUDAD DE PROCEDENCIA","CIUDAD DE DESTINO 1","CIUDAD DE DESTINO 2","CIUDAD DE DESTINO 3","CIUDAD DE DESTINO 4","CIUDAD DE DESTINO 5","SEXO","MOTIVO DEL VIAJE","TIEMPO DE PERMANENCIA EN DIAS","TIPO ALOJAMIENTO","TIPO TRANSPORTE","PRESUPUESTO","RESULTADO SATISFACCIÓN","CANTIDAD DE VIAJEROS"
"Aquitania","3","2,023","Colombiano","Antioquía","Aquitania","Iza","Sogamoso","Tota","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Risaralda","Aquitania","Tota","Iza","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","4","2,023","Colombiano","Antioquía","Aquitania","Iza","Monguí","Sogamoso","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","4"
"Aquitania","4","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Firavitoba","Tota","Masculino","Turismo de Naturaleza.","5","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","10","4"
"Aquitania","4","2,023","Colombiano","Bogotá","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","4","2,023","Colombiano","Bogotá","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Tunja","4","2,023","Colombiano","Bogotá","Tunja","Sáchica","Ráquira","Villa De Leyva","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Tunja","4","2,023","Colombiano","Valle Del Cauca","Nobsa","Villa de Leyva","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","4"
"Puente de Boyacá","4","2,023","Colombiano","Meta","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Puente de Boyacá","4","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
