PUNTO DE INFORMACIÓN,MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,TIPO ALOJAMIENTO,TIPO TRANSPORTE,PRESUPUESTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,,,,,Masculino,Turismo Cultural.,4.0,Hotel,Bus,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Puente de Boyacá,3,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo de Bienestar.,1.0,familiar,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,1.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Meta,Paipa,,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,hasta $ 300.000 COP.,9,1.0
Puente de Boyacá,3,"2,023",Colombiano,Antioquía,Villa de Leyva,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
Puente de Boyacá,3,"2,023",Colombiano,Atlántico,Ventaquemada,Villa de Leyva,Tunja,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,hasta $ 300.000 COP.,9,4.0
Puente de Boyacá,3,"2,023",Colombiano,Antioquía,Villa de Leyva,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Norte De Santander,Paipa,Tunja,,,,Masculino,Turismo Cultural.,1.0,Pasadía,Vehículo propio.,hasta $ 300.000 COP.,9,2.0
Puente de Boyacá,3,"2,023",Colombiano,Tolima,Samacá,Sutamarchán,Tunja,Ráquira,Sáchica,Masculino,Turismo de Aventura.,3.0,Hotel,Bus,Entre $ 600.000 a $ 1.000.000 COP.,10,2.0
Puente de Boyacá,3,"2,023",Colombiano,Tolima,Villa de Leyva,,,,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Puente de Boyacá,3,"2,023",Colombiano,Bogotá,Villa de Leyva,,,,,Masculino,Turismo de Naturaleza.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Puente de Boyacá,3,"2,023",Colombiano,Santander,Sogamoso,Tunja,,,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Puente de Boyacá,3,"2,023",Colombiano,Bogotá,Ráquira,Sáchica,Sutamarchán,Villa De Leyva,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Huila,Duitama,Monguí,Ráquira,Villa De Leyva,,Masculino,Turismo de Naturaleza.,1.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,10,4.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Valle Del Cauca,Monguí,Paipa,,,,Masculino,Turismo de Naturaleza.,1.0,Hotel,Bus,Entre $ 600.000 a $ 1.000.000 COP.,10,2.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Santander,Paipa,,,,,Masculino,Turismo de Naturaleza.,3.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,10,2.0
Puente de Boyacá,3,"2,023",Colombiano,Valle Del Cauca,Villa de Leyva,,,,,Masculino,Turismo de Naturaleza.,5.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,10,2.0
Tunja,3,"2,023",Colombiano,Bolívar,Tunja,Villa de Leyva,,,,Masculino,Turismo de Naturaleza.,2.0,Finca agroturística/Alojamiento rural.,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,2.0
Puente de Boyacá,3,"2,023",Colombiano,Quindío,Villa de Leyva,,,,,Masculino,Turismo de Naturaleza.,1.0,Pasadía,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Monumento Pantano de Vargas,3,"2,023",Colombiano,Antioquía,Duitama,Iza,Paipa,Villa De Leyva,,Masculino,Turismo de Naturaleza.,2.0,Casa/cabaña de vacaciones propia.,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,10,4.0
Tunja,3,"2,023",Colombiano,Santander,Tunja,,,,,Masculino,Turismo Cultural.,1.0,Pasadía,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Monguí,Sogamoso,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Iza,Tota,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Cuítiva,Tota,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Sogamoso,,,,Masculino,Turismo Cultural.,5.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Tota,,Masculino,Turismo Cultural.,4.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Antioquía,Aquitania,Iza,Sogamoso,Tota,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Risaralda,Aquitania,Tota,Iza,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,4,"2,023",Colombiano,Antioquía,Aquitania,Iza,Monguí,Sogamoso,,Masculino,Turismo de Naturaleza.,2.0,Hotel,Vehículo propio.,Entre $ 1.000.000 a $ 3.000.000 COP.,10,4.0
Aquitania,4,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Firavitoba,Tota,Masculino,Turismo de Naturaleza.,5.0,Hotel,Bus,Entre $ 1.000.000 a $ 3.000.000 COP.,10,4.0
Aquitania,4,"2,023",Colombiano,Bogotá,Aquitania,,,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,4,"2,023",Colombiano,Bogotá,Aquitania,,,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Tunja,4,"2,023",Colombiano,Bogotá,Tunja,Sáchica,Ráquira,Villa De Leyva,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Tunja,4,"2,023",Colombiano,Valle Del Cauca,Nobsa,Villa de Leyva,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,4.0
